* primer sequences are manufactured specifically for use with the Ion AmpliSeq Kits and contain proprietary modifications.
384Well_PlateID,384Well_Row,384Well_Col,Amplicon_ID,Ion_AmpliSeq_Fwd_Primer*,Ion_AmpliSeq_Rev_Primer*
Pool1_01,F,14,7173184220,.,.
Pool1_01,F,15,7173178412,.,.
Pool1_01,F,16,7173178253,.,.
Pool1_01,F,17,7173178221,.,.
Pool1_01,F,18,7173184207,.,.
Pool1_01,F,19,SP_271.63460,.,.
Pool1_01,F,20,7173178419,.,.
Pool1_01,F,21,7171194106,.,.
Pool1_01,F,22,7173184248,.,.
Pool1_01,F,23,7173178191,.,.
Pool1_01,F,24,7173184183,.,.
Pool1_01,G,1,7173178444,.,.
Pool1_01,G,2,7173178262,.,.
Pool1_01,G,3,7173178266,.,.
Pool1_01,G,4,7173178418,.,.
Pool1_01,G,5,7173178332,.,.
Pool1_01,G,6,7173184236,.,.
Pool1_01,G,7,7173178289,.,.
Pool1_01,G,8,7173178255,.,.
Pool1_01,G,9,7173184221,.,.
Pool1_01,G,10,7169359910,.,.
Pool1_01,G,11,7173178438,.,.
Pool1_01,G,12,7170527855,.,.
Pool1_01,G,13,7173178176,.,.
Pool1_01,G,14,7173184292,.,.
Pool1_01,G,15,7170890043,.,.
Pool1_01,G,16,7173178338,.,.
Pool1_01,G,17,7173178227,.,.
Pool1_01,G,18,7173178301,.,.
Pool1_01,G,19,7170727281,.,.
Pool1_01,G,20,7173178402,.,.
Pool1_01,G,21,7173184168,.,.
Pool1_01,G,22,7173184269,.,.
Pool1_01,G,23,7173178416,.,.
Pool1_01,G,24,7173178360,.,.
Pool1_01,H,1,7173184224,.,.
Pool1_01,H,2,7173178226,.,.
Pool1_01,H,3,7173178276,.,.
Pool1_01,H,4,7173184171,.,.
Pool1_01,H,5,7173184204,.,.
Pool1_01,H,6,7173178435,.,.
Pool1_01,H,7,7173178175,.,.
Pool1_01,H,8,7173184216,.,.
Pool1_01,H,9,7173184240,.,.
Pool1_01,H,10,7173178341,.,.
Pool1_01,H,11,7173184276,.,.
Pool1_01,H,12,7173178364,.,.
Pool1_01,H,13,7173178249,.,.
Pool1_01,H,14,7173178189,.,.
Pool1_01,H,15,7173184225,.,.
Pool1_01,H,16,7173178291,.,.
Pool1_01,H,17,7173184263,.,.
Pool1_01,H,18,7173178240,.,.
Pool1_01,H,19,7173184287,.,.
Pool1_01,H,20,7170151966,.,.
Pool1_01,H,21,7173178263,.,.
Pool1_01,H,22,7173178365,.,.
Pool1_01,H,23,7173184180,.,.
Pool1_01,H,24,7173178343,.,.
Pool1_01,I,1,7170667858,.,.
Pool1_01,I,2,7173178458,.,.
Pool1_01,I,3,7173178335,.,.
Pool1_01,I,4,7173184293,.,.
Pool1_01,I,5,7173178403,.,.
Pool1_01,I,6,7173184239,.,.
Pool1_01,I,7,7173178200,.,.
Pool1_01,I,8,7173178356,.,.
Pool1_01,I,9,7173178311,.,.
Pool1_01,I,10,7173178378,.,.
Pool1_01,I,11,7173184275,.,.
Pool1_01,I,12,7173184165,.,.
Pool1_01,I,13,7170963300,.,.
